,Number of features,Accuracy,Error,Precision,F1-score,Recall
PCA + MLP,120,0.6764705882352942,0.32352941176470584,0.6764204545454545,0.6764705882352942,0.668204365079365
PCA + SVM,120,0.5588235294117647,0.4411764705882353,0.6625728438228438,0.5588235294117647,0.5623511904761904
PCA + D-Tree,120,0.3235294117647059,0.6764705882352942,0.3118666056166056,0.3235294117647059,0.32321428571428573
PCA + LR,120,0.45588235294117646,0.5441176470588236,0.4670364357864358,0.4558823529411764,0.45421626984126984
k-PCA + MLP,40,0.6764705882352942,0.32352941176470584,0.7436507936507937,0.6764705882352942,0.6744543650793651
k-PCA + SVM,40,0.6323529411764706,0.36764705882352944,0.7070075757575758,0.6323529411764706,0.6348710317460318
k-PCA + D-Tree,40,0.3088235294117647,0.6911764705882353,0.31653138528138525,0.3088235294117647,0.32247023809523806
k-PCA + LR,40,0.45588235294117646,0.5441176470588236,0.34784226190476186,0.4558823529411764,0.46001984126984125
LDA + MLP,7,0.9705882352941176,0.02941176470588236,0.9722222222222222,0.9705882352941176,0.9722222222222222
LDA + SVM,7,0.9852941176470589,0.014705882352941124,0.984375,0.9852941176470589,0.9861111111111112
LDA + D-Tree,7,0.9558823529411765,0.044117647058823484,0.9635416666666667,0.9558823529411765,0.9583333333333333
LDA + LR,7,0.9705882352941176,0.02941176470588236,0.9730113636363636,0.9705882352941176,0.9722222222222222
k-LDA + MLP,7,0.9558823529411765,0.044117647058823484,0.9583333333333333,0.9558823529411765,0.9583333333333333
k-LDA + SVM,7,0.9852941176470589,0.014705882352941124,0.984375,0.9852941176470589,0.9861111111111112
k-LDA + D-Tree,7,0.9558823529411765,0.044117647058823484,0.9635416666666667,0.9558823529411765,0.9583333333333333
k-LDA + LR,7,0.9705882352941176,0.02941176470588236,0.9730113636363636,0.9705882352941176,0.9722222222222222
VGGNet + MLP,4096,0.7352941176470589,0.2647058823529411,0.7225049256299256,0.735294117647059,0.7212301587301586
VGGNet + SVM,4096,0.7205882352941176,0.27941176470588236,0.7588023088023088,0.7205882352941176,0.7140873015873016
VGGNet + D-Tree,4096,0.6029411764705882,0.3970588235294118,0.5950126262626263,0.6029411764705882,0.6044146825396826
VGGNet + LR,4096,0.7058823529411765,0.2941176470588235,0.7013888888888888,0.7058823529411765,0.6915674603174603
ResNet + MLP,2048,0.9705882352941176,0.02941176470588236,0.979020979020979,0.9705882352941176,0.9642857142857143
ResNet + SVM,2048,0.9852941176470589,0.014705882352941124,0.9903846153846154,0.9852941176470589,0.9821428571428572
ResNet + D-Tree,2048,0.9705882352941176,0.02941176470588236,0.9696428571428571,0.9705882352941176,0.9665178571428572
ResNet + LR,2048,0.9705882352941176,0.02941176470588236,0.979020979020979,0.9705882352941176,0.9642857142857143
VGG-net + Resnet + MLP,6144,0.9705882352941176,0.02941176470588236,0.9791666666666667,0.9705882352941176,0.9642857142857143
VGG-net + Resnet + SVM,6144,0.9852941176470589,0.014705882352941124,0.9886363636363636,0.9852941176470589,0.9821428571428572
VGG-net + Resnet + D-Tree,6144,0.9852941176470589,0.014705882352941124,0.9875,0.9852941176470589,0.9821428571428572
VGG-net + Resnet + LR,6144,0.9705882352941176,0.02941176470588236,0.9791666666666667,0.9705882352941176,0.9642857142857143
