,Number of features,Accuracy,Error,Precision,F1-score,Recall
PCA + MLP,120,0.7058823529411765,0.2941176470588235,0.6388888888888888,0.7058823529411765,0.6527777777777778
PCA + SVM,120,0.6470588235294118,0.3529411764705882,0.5833333333333334,0.6470588235294118,0.5694444444444444
PCA + D-Tree,120,0.4117647058823529,0.5882352941176471,0.4166666666666667,0.4117647058823529,0.4583333333333333
PCA + LR,120,0.9411764705882353,0.05882352941176472,0.9090909090909091,0.9411764705882353,0.8636363636363636
k-PCA + MLP,40,0.8823529411764706,0.11764705882352944,0.8636363636363636,0.8823529411764706,0.8181818181818182
k-PCA + SVM,40,0.6470588235294118,0.3529411764705882,0.5833333333333334,0.6470588235294118,0.5694444444444444
k-PCA + D-Tree,40,0.5294117647058824,0.47058823529411764,0.5166666666666667,0.5294117647058824,0.4583333333333333
k-PCA + LR,40,0.35294117647058826,0.6470588235294117,0.3333333333333333,0.35294117647058826,0.3222222222222222
LDA + MLP,14,1.0,0.0,1.0,1.0,1.0
LDA + SVM,14,1.0,0.0,1.0,1.0,1.0
LDA + D-Tree,14,0.8235294117647058,0.17647058823529416,0.8333333333333334,0.8235294117647058,0.736111111111111
LDA + LR,14,1.0,0.0,1.0,1.0,1.0
k-LDA + MLP,14,1.0,0.0,1.0,1.0,1.0
k-LDA + SVM,14,1.0,0.0,1.0,1.0,1.0
k-LDA + D-Tree,14,0.9411764705882353,0.05882352941176472,0.9090909090909091,0.9411764705882353,0.8636363636363636
k-LDA + LR,14,1.0,0.0,1.0,1.0,1.0
VGGNet + MLP,4096,0.6470588235294118,0.3529411764705882,0.5357142857142857,0.6470588235294118,0.4523809523809524
VGGNet + SVM,4096,0.47058823529411764,0.5294117647058824,0.5,0.47058823529411764,0.3589743589743589
VGGNet + D-Tree,4096,0.5294117647058824,0.47058823529411764,0.47222222222222215,0.5294117647058824,0.4166666666666667
VGGNet + LR,4096,0.5882352941176471,0.4117647058823529,0.5138888888888888,0.5882352941176471,0.4444444444444444
ResNet + MLP,2048,0.9411764705882353,0.05882352941176472,0.9090909090909091,0.9411764705882353,0.8787878787878788
ResNet + SVM,2048,1.0,0.0,1.0,1.0,1.0
ResNet + D-Tree,2048,0.8823529411764706,0.11764705882352944,0.8636363636363636,0.8823529411764706,0.8484848484848484
ResNet + LR,2048,1.0,0.0,1.0,1.0,1.0
VGG-net + Resnet + MLP,6144,0.8823529411764706,0.11764705882352944,0.9090909090909091,0.8823529411764706,0.8484848484848484
VGG-net + Resnet + SVM,6144,1.0,0.0,1.0,1.0,1.0
VGG-net + Resnet + D-Tree,6144,0.7058823529411765,0.2941176470588235,0.6969696969696969,0.7058823529411765,0.7424242424242423
VGG-net + Resnet + LR,6144,1.0,0.0,1.0,1.0,1.0
